dataset,catalog_id,metric,jet_sample_requests,jet_sample_score,reference_model,reference_engine,reference_metric,reference_score,reference_cases_or_requests,metric_matches,in_current_panel,comparison_scope
ContractNLI,11,macro-F1,56,0.7404310060948458,Jev,jev,macro-F1,0.7169,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,system-one-gemma,akash-gemma,macro-F1,0.2072,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,AutoJev-27B,autojev-27b,macro-F1,0.7815,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Bosun v3.1 0.6B,bosun-v3.1-0.6b,macro-F1,0.2165,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Bosun v3.1 1.7B,bosun-v3.1-1.7b,macro-F1,0.4436,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,CLM-v0.1-8B,clm-v0.1-8b,macro-F1,0.2011,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decider 2B,decider-2b-fp8-http,macro-F1,0.634,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decider 35B-A3B,decider-35b-nvfp4,macro-F1,0.7496,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decider 4B,decider-4b,macro-F1,0.7234,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decider chat · Qwen3.6-27B,decider-chat-qwen3.6-27b,macro-F1,0.74,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Eos,decision-eos-0.8b,macro-F1,0.436,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Kai,decision-kai-7185f514,macro-F1,0.3662,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Lex,decision-lex,macro-F1,0.2011,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Lux,decision-lux-9b,macro-F1,0.7166,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Nox,decision-nox-0bb83350,macro-F1,0.6408,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Decision 1.0 Sol,decision-sol-0665a411,macro-F1,0.5014,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,djev,djev,macro-F1,0.7002,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,GLiNER 2.5 base,gliner-base,macro-F1,0.2285,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,GLiNER 2.5 multilingual,gliner-multi,macro-F1,0.3021,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,GLiNER 2.5 small,gliner-small,macro-F1,0.211,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Qwen-2.5-1B-RLCD,harsha,macro-F1,0.2668,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Hopper,hopper,macro-F1,0.6963,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,jeff,jeff-uncapped,macro-F1,0.2126,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,Jevfire,jevfire-uncapped,macro-F1,0.7547,123,True,True,different denominators: local sample versus published full benchmark
ContractNLI,11,macro-F1,56,0.7404310060948458,JevK5,jevk5,macro-F1,0.669,123,True,True,different denominators: local sample versus published full benchmark
